"repository_path","category","dataset","condition","method","source_path","size_bytes","sha256","source_hash_match","note"
"code/cwru/clean/basic.ipynb","notebook","CWRU","clean","basic","D:\文件备份\学习\论文-故障分类\历史模型\models\ROUND_4\Bace\MCNN-LSTM-CWRU--Attention--ResNet.ipynb","958363","3e5c82264f18d35744ab3470e04aa8e7584ce6bcf66c1d7855ac0148c3f3cdc5","true","Selected paper-result notebook"
"code/cwru/clean/hybrid.ipynb","notebook","CWRU","clean","hybrid","D:\文件备份\学习\论文-故障分类\历史模型\models\ROUND_4\Bace\test_niose_dnn_wave.ipynb","754530","10a0a9d0ce82792a6024a235a79f60751651fc2f4d0ac485e90354fff66a88a0","true","Selected paper-result notebook"
"code/cwru/clean/model_denoising.ipynb","notebook","CWRU","clean","model_denoising","D:\文件备份\学习\论文-故障分类\历史模型\models\ROUND_4\Bace\Base_dnn.ipynb","751041","83cb80c875d0a8dac77a25488e69b16930668825dc3225bc2ba817273e05da33","true","Selected paper-result notebook"
"code/cwru/clean/wavelet.ipynb","notebook","CWRU","clean","wavelet","D:\文件备份\学习\论文-故障分类\历史模型\models\ROUND_4\Bace\Base_wave.ipynb","750589","c3a5cce1ec326bc3e8380cb0ba34bea434aa94189b5ab91631a6a09934ea3155","true","Selected paper-result notebook"
"code/cwru/snr0/basic.ipynb","notebook","CWRU","snr0","basic","D:\文件备份\学习\论文-故障分类\历史模型\models\ROUND_4\Gaussian_test_noise_SNR=0\Base.ipynb","756149","dc9166526d81e4b6917ac6676dce0845032d47ca1be968b7d49a6f8203d537f4","true","Selected paper-result notebook"
"code/cwru/snr0/hybrid.ipynb","notebook","CWRU","snr0","hybrid","D:\文件备份\学习\论文-故障分类\历史模型\models\ROUND_4\Gaussian_test_noise_SNR=0\test_niose_dnn_wave.ipynb","753725","ab0003f2c901c5d12bc22b15a9ea026777758cf6a752ba4a12849204953d8647","true","Selected paper-result notebook"
"code/cwru/snr0/model_denoising.ipynb","notebook","CWRU","snr0","model_denoising","D:\文件备份\学习\论文-故障分类\历史模型\models\ROUND_4\Gaussian_test_noise_SNR=0\Base_dnn.ipynb","754424","ff62a632ef4bc8ee77c22e51be806f732acf348c8045bb312c7ce0195ae328cd","true","Selected paper-result notebook"
"code/cwru/snr0/wavelet.ipynb","notebook","CWRU","snr0","wavelet","D:\文件备份\学习\论文-故障分类\历史模型\models\ROUND_4\Gaussian_test_noise_SNR=0\Base_wave.ipynb","749760","6622ed71409e918a48048b963f296a0b4984bdcbf9f3f6a67c77a47dbe5103ea","true","Selected paper-result notebook"
"code/cwru/snr10/basic.ipynb","notebook","CWRU","snr10","basic","D:\文件备份\学习\论文-故障分类\历史模型\models\ROUND_5\Gaussian_test_noise_SNR=10\Base.ipynb","746343","5831beb3b29fa99ec48b89cae9fbf96cfa6bd94d26903c185043a389c5161ba4","true","Selected paper-result notebook"
"code/cwru/snr10/hybrid.ipynb","notebook","CWRU","snr10","hybrid","D:\文件备份\学习\论文-故障分类\历史模型\models\ROUND_5\Gaussian_test_noise_SNR=10\test_niose_dnn_wave.ipynb","756962","4a3933cef604889f07b945920318202c88d170153b141116fd92e6f6f85a0876","true","Selected paper-result notebook"
"code/cwru/snr10/model_denoising.ipynb","notebook","CWRU","snr10","model_denoising","D:\文件备份\学习\论文-故障分类\历史模型\models\ROUND_5\Gaussian_test_noise_SNR=10\Base_dnn.ipynb","748525","c25965d14e6e45e4816d7d6b518669ae3cffdaa04714d90b99b9b435e7d85f7c","true","Selected paper-result notebook"
"code/cwru/snr10/wavelet.ipynb","notebook","CWRU","snr10","wavelet","D:\文件备份\学习\论文-故障分类\历史模型\models\ROUND_5\Gaussian_test_noise_SNR=10\Base_wave.ipynb","745525","85194ad66ebad41f7f44d41195cc65669bf61da9383daf5a79ee3b7051d1a917","true","Selected paper-result notebook"
"code/cwru/snr15/basic.ipynb","notebook","CWRU","snr15","basic","D:\文件备份\学习\论文-故障分类\历史模型\models\ROUND_4\Gaussian_test_noise_SNR=15\Base.ipynb","744740","8008a63add333aea0fcb54918d4438cd37432337b355932603e9fc355d95cee1","true","Selected paper-result notebook"
"code/cwru/snr15/hybrid.ipynb","notebook","CWRU","snr15","hybrid","D:\文件备份\学习\论文-故障分类\历史模型\models\ROUND_4\Gaussian_test_noise_SNR=15\test_niose_dnn_wave.ipynb","728665","3c5a07fc837c684d4b9177aec20e9357a30edb7e03371215f0a89e770e5cae11","true","Notebook output 0.951182; manuscript reports 0.9512"
"code/cwru/snr15/model_denoising.ipynb","notebook","CWRU","snr15","model_denoising","D:\文件备份\学习\论文-故障分类\历史模型\models\ROUND_4\Gaussian_test_noise_SNR=15\Base_dnn.ipynb","750140","df7848aba56eb22d8b0bf179e794cc66b2493dbf438bf645669d2777c3a17829","true","Selected paper-result notebook"
"code/cwru/snr15/wavelet.ipynb","notebook","CWRU","snr15","wavelet","D:\文件备份\学习\论文-故障分类\历史模型\models\ROUND_4\Gaussian_test_noise_SNR=15\Base_wave.ipynb","761333","bd9caac3516b4857d414ab70c58671b31b2efde962bbd459b6d28a6bba923723","true","Selected paper-result notebook"
"code/cwru/snr20/basic.ipynb","notebook","CWRU","snr20","basic","D:\文件备份\学习\论文-故障分类\历史模型\models\ROUND_4\Gaussian_test_noise_SNR=20\Bace.ipynb","954684","eaf19a9c8e10c2b4526862664733b9ee047982ba4bd5bd6142f46086716ccf77","true","Selected paper-result notebook"
"code/cwru/snr20/hybrid.ipynb","notebook","CWRU","snr20","hybrid","D:\文件备份\学习\论文-故障分类\历史模型\models\ROUND_4\Gaussian_test_noise_SNR=20\test_niose_dnn_wave.ipynb","746953","2a1d6817444e4d2b5f1a3ff46eec6a7f2b8f5fe499e073a63e4876a2511ae5ea","true","Selected paper-result notebook"
